BacteriaId,Frame,Time (s),X,Y
kFwGM4EmvzUUxGPkr55bCk,228,7.574,1003,119
kFwGM4EmvzUUxGPkr55bCk,229,7.608,1005,119
kFwGM4EmvzUUxGPkr55bCk,230,7.641,1008,119
kFwGM4EmvzUUxGPkr55bCk,231,7.674,1011,121
kFwGM4EmvzUUxGPkr55bCk,232,7.708,1010,115
kFwGM4EmvzUUxGPkr55bCk,233,7.741,1012,113
kFwGM4EmvzUUxGPkr55bCk,234,7.774,1011,112
kFwGM4EmvzUUxGPkr55bCk,235,7.808,1012,112
kFwGM4EmvzUUxGPkr55bCk,236,7.841,1012,113
kFwGM4EmvzUUxGPkr55bCk,237,7.875,1016,112
kFwGM4EmvzUUxGPkr55bCk,238,7.908,1016,111
kFwGM4EmvzUUxGPkr55bCk,239,7.941,1014,113
kFwGM4EmvzUUxGPkr55bCk,240,7.975,1014,113
kFwGM4EmvzUUxGPkr55bCk,241,8.008,1015,109
kFwGM4EmvzUUxGPkr55bCk,242,8.041,1020,109
kFwGM4EmvzUUxGPkr55bCk,243,8.075,1023,110
kFwGM4EmvzUUxGPkr55bCk,244,8.108,1028,104
kFwGM4EmvzUUxGPkr55bCk,245,8.141,1028,104
kFwGM4EmvzUUxGPkr55bCk,246,8.175,1030,100
kFwGM4EmvzUUxGPkr55bCk,247,8.208,1032,100
kFwGM4EmvzUUxGPkr55bCk,248,8.242,1034,100
kFwGM4EmvzUUxGPkr55bCk,249,8.275,1028,104
kFwGM4EmvzUUxGPkr55bCk,250,8.308,1033,97
kFwGM4EmvzUUxGPkr55bCk,251,8.342,1035,94
kFwGM4EmvzUUxGPkr55bCk,252,8.375,1036,91
kFwGM4EmvzUUxGPkr55bCk,253,8.408,1036,88
kFwGM4EmvzUUxGPkr55bCk,254,8.442,1038,81
kFwGM4EmvzUUxGPkr55bCk,255,8.475,1041,80
kFwGM4EmvzUUxGPkr55bCk,256,8.509,1040,82
kFwGM4EmvzUUxGPkr55bCk,257,8.542,1038,84
kFwGM4EmvzUUxGPkr55bCk,258,8.575,1043,84
kFwGM4EmvzUUxGPkr55bCk,259,8.609,1040,81
kFwGM4EmvzUUxGPkr55bCk,260,8.642,1042,80
kFwGM4EmvzUUxGPkr55bCk,261,8.675,1041,76
kFwGM4EmvzUUxGPkr55bCk,262,8.709,1045,76
kFwGM4EmvzUUxGPkr55bCk,263,8.742,1045,76
kFwGM4EmvzUUxGPkr55bCk,264,8.775,1045,75
kFwGM4EmvzUUxGPkr55bCk,265,8.809,1044,77
kFwGM4EmvzUUxGPkr55bCk,266,8.842,1040,77
kFwGM4EmvzUUxGPkr55bCk,267,8.876,1041,74
kFwGM4EmvzUUxGPkr55bCk,268,8.909,1039,75
kFwGM4EmvzUUxGPkr55bCk,269,8.942,1042,78
kFwGM4EmvzUUxGPkr55bCk,270,8.976,1043,69
kFwGM4EmvzUUxGPkr55bCk,271,9.009,1044,73
kFwGM4EmvzUUxGPkr55bCk,272,9.042,1047,72
kFwGM4EmvzUUxGPkr55bCk,273,9.076,1049,72
kFwGM4EmvzUUxGPkr55bCk,274,9.109,1047,69
kFwGM4EmvzUUxGPkr55bCk,275,9.142,1051,66
kFwGM4EmvzUUxGPkr55bCk,276,9.176,1052,63
kFwGM4EmvzUUxGPkr55bCk,277,9.209,1053,65
kFwGM4EmvzUUxGPkr55bCk,278,9.243,1052,62
kFwGM4EmvzUUxGPkr55bCk,279,9.276,1053,63
kFwGM4EmvzUUxGPkr55bCk,280,9.309,1054,62
kFwGM4EmvzUUxGPkr55bCk,281,9.343,1057,63
kFwGM4EmvzUUxGPkr55bCk,282,9.376,1057,64
kFwGM4EmvzUUxGPkr55bCk,283,9.409,1061,61
kFwGM4EmvzUUxGPkr55bCk,284,9.443,1060,62
kFwGM4EmvzUUxGPkr55bCk,285,9.476,1062,61
kFwGM4EmvzUUxGPkr55bCk,286,9.509,1064,57
kFwGM4EmvzUUxGPkr55bCk,287,9.543,1064,58
kFwGM4EmvzUUxGPkr55bCk,288,9.576,1066,54
kFwGM4EmvzUUxGPkr55bCk,289,9.610,1067,56
kFwGM4EmvzUUxGPkr55bCk,290,9.643,1068,50
kFwGM4EmvzUUxGPkr55bCk,291,9.676,1073,46
kFwGM4EmvzUUxGPkr55bCk,292,9.710,1073,49
kFwGM4EmvzUUxGPkr55bCk,293,9.743,1069,44
kFwGM4EmvzUUxGPkr55bCk,294,9.776,1068,44
kFwGM4EmvzUUxGPkr55bCk,295,9.810,1068,47
kFwGM4EmvzUUxGPkr55bCk,296,9.843,1072,49
kFwGM4EmvzUUxGPkr55bCk,297,9.877,1072,49
kFwGM4EmvzUUxGPkr55bCk,298,9.910,1074,46
