BacteriaId,Frame,Time,X,Y
NCTRQs4ueconmoYkbHqTtk,257,8.542,664,521
NCTRQs4ueconmoYkbHqTtk,258,8.575,664,520
NCTRQs4ueconmoYkbHqTtk,259,8.609,664,521
NCTRQs4ueconmoYkbHqTtk,260,8.642,665,519
NCTRQs4ueconmoYkbHqTtk,261,8.675,667,519
NCTRQs4ueconmoYkbHqTtk,262,8.709,667,519
NCTRQs4ueconmoYkbHqTtk,263,8.742,669,518
NCTRQs4ueconmoYkbHqTtk,264,8.775,671,518
NCTRQs4ueconmoYkbHqTtk,265,8.809,671,515
NCTRQs4ueconmoYkbHqTtk,266,8.842,671,515
NCTRQs4ueconmoYkbHqTtk,267,8.876,673,515
NCTRQs4ueconmoYkbHqTtk,268,8.909,673,513
NCTRQs4ueconmoYkbHqTtk,269,8.942,675,510
NCTRQs4ueconmoYkbHqTtk,270,8.976,677,509
NCTRQs4ueconmoYkbHqTtk,271,9.009,679,509
NCTRQs4ueconmoYkbHqTtk,272,9.042,680,508
NCTRQs4ueconmoYkbHqTtk,273,9.076,679,509
NCTRQs4ueconmoYkbHqTtk,274,9.109,682,507
NCTRQs4ueconmoYkbHqTtk,275,9.142,681,511
NCTRQs4ueconmoYkbHqTtk,276,9.176,680,508
NCTRQs4ueconmoYkbHqTtk,277,9.209,679,507
NCTRQs4ueconmoYkbHqTtk,278,9.243,678,507
NCTRQs4ueconmoYkbHqTtk,279,9.276,679,507
NCTRQs4ueconmoYkbHqTtk,280,9.309,683,505
NCTRQs4ueconmoYkbHqTtk,281,9.343,681,507
NCTRQs4ueconmoYkbHqTtk,282,9.376,683,505
NCTRQs4ueconmoYkbHqTtk,283,9.409,683,507
NCTRQs4ueconmoYkbHqTtk,284,9.443,683,505
NCTRQs4ueconmoYkbHqTtk,285,9.476,686,503
NCTRQs4ueconmoYkbHqTtk,286,9.509,688,500
NCTRQs4ueconmoYkbHqTtk,287,9.543,691,500
NCTRQs4ueconmoYkbHqTtk,288,9.576,691,500
NCTRQs4ueconmoYkbHqTtk,289,9.610,693,501
NCTRQs4ueconmoYkbHqTtk,290,9.643,696,499
NCTRQs4ueconmoYkbHqTtk,291,9.676,698,498
NCTRQs4ueconmoYkbHqTtk,292,9.710,698,498
NCTRQs4ueconmoYkbHqTtk,293,9.743,699,496
NCTRQs4ueconmoYkbHqTtk,294,9.776,701,498
NCTRQs4ueconmoYkbHqTtk,295,9.810,704,497
NCTRQs4ueconmoYkbHqTtk,296,9.843,705,493
NCTRQs4ueconmoYkbHqTtk,297,9.877,706,492
NCTRQs4ueconmoYkbHqTtk,298,9.910,706,493
